"Name","lDAPDisplayName","Created","Modified","attributeID","attributeSyntax"
"FRS-Partner-Auth-Level","fRSPartnerAuthLevel","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.877","2.5.5.9"
"ms-DS-Non-Members-BL","msDS-NonMembersBL","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1794","2.5.5.1"
"ms-WMI-TargetObject","msWMI-TargetObject","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1647","2.5.5.10"
"Query-Policy-BL","queryPolicyBL","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.608","2.5.5.1"
"ms-TS-Endpoint-Data","msTSEndpointData","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2070","2.5.5.12"
"FRS-Primary-Member","fRSPrimaryMember","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.878","2.5.5.1"
"ms-DS-Phonetic-First-Name","msDS-PhoneticFirstName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1942","2.5.5.12"
"ms-WMI-TargetPath","msWMI-TargetPath","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1648","2.5.5.12"
"Query-Policy-Object","queryPolicyObject","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.607","2.5.5.1"
"ms-TS-Endpoint-Type","msTSEndpointType","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2071","2.5.5.9"
"FRS-Replica-Set-GUID","fRSReplicaSetGUID","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.533","2.5.5.10"
"ms-DS-Phonetic-Last-Name","msDS-PhoneticLastName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1943","2.5.5.12"
"ms-WMI-TargetType","msWMI-TargetType","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1649","2.5.5.12"
"QueryPoint","queryPoint","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.680","2.5.5.12"
"ms-TS-Endpoint-Plugin","msTSEndpointPlugin","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2072","2.5.5.12"
"FRS-Replica-Set-Type","fRSReplicaSetType","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.31","2.5.5.9"
"ms-DS-Phonetic-Department","msDS-PhoneticDepartment","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1944","2.5.5.12"
"Mscope-Id","mscopeId","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.716","2.5.5.5"
"Range-Lower","rangeLower","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.2.34","2.5.5.9"
"ms-TS-Primary-Desktop","msTSPrimaryDesktop","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2073","2.5.5.1"
"FRS-Root-Path","fRSRootPath","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.487","2.5.5.12"
"ms-DS-Phonetic-Company-Name","msDS-PhoneticCompanyName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1945","2.5.5.12"
"Msi-File-List","msiFileList","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.671","2.5.5.12"
"Range-Upper","rangeUpper","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.2.35","2.5.5.9"
"ms-TS-Secondary-Desktops","msTSSecondaryDesktops","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2075","2.5.5.1"
"FRS-Root-Security","fRSRootSecurity","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.535","2.5.5.15"
"ms-DS-Phonetic-Display-Name","msDS-PhoneticDisplayName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1946","2.5.5.12"
"Msi-Script","msiScript","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.814","2.5.5.10"
"RDN","name","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1","2.5.5.12"
"ms-TS-Primary-Desktop-BL","msTSPrimaryDesktopBL","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2074","2.5.5.1"
"Account-Expires","accountExpires","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.159","2.5.5.16"
"FRS-Service-Command","fRSServiceCommand","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.500","2.5.5.12"
"ms-DS-HAB-Seniority-Index","msDS-HABSeniorityIndex","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1997","2.5.5.9"
"Msi-Script-Name","msiScriptName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.845","2.5.5.12"
"RDN-Att-ID","rDNAttID","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.2.26","2.5.5.2"
"ms-TS-Secondary-Desktop-BL","msTSSecondaryDesktopBL","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2078","2.5.5.1"
"FRS-Service-Command-Status","fRSServiceCommandStatus","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.879","2.5.5.12"
"ms-DS-Promotion-Settings","msDS-PromotionSettings","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1962","2.5.5.12"
"Msi-Script-Path","msiScriptPath","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.15","2.5.5.12"
"Registered-Address","registeredAddress","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","2.5.4.26","2.5.5.10"
"MS-TS-Property01","msTSProperty01","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1991","2.5.5.12"
